757220xd1052348	0101-BF0C4981
757220xd1052346	0101-BF0C4981
757220xd1052349	0101-BF0C4981
757220xd1052347	0101-BF0C4981
762220000692800	f3f72eec59dc452b907cf8b25e72ea3a
762220000693800	f3f72eec59dc452b907cf8b25e72ea3a
762220000694600	c16a6d89173842c99db9f64e49166599
762220000695400	7f7e7ee0f98e44059a128c380bf2321f
762220000696200	3b5079d28b024e8cb1d0c023f228e51f
762220000697000	a8bef4f911fd4a93bde055952f879339
762220000697800	fb165f448a914c5f88d12024d469da05
762220000698600	3ce2698d2fdb4b5186fd72c3ce867294
762220000699400	ec059d75cc9b47728c4ae37df5d6b139
762220000700200	a7bf1417211f463fb8e1d2d8cc23813a
762220000701000	4b124d37e7aa4853854a3e417f06c0e3
762220000701800	1458dfa21f8a4ad99df6dc7682e77d0f
762220000702600	cf1bd7328dbd4d0fbbaa879aa5c1a925
762220000703400	0fb666f25c4743fbbf90d3fbf7562d04
762220000704200	aef6938c03404107bdca51c96ee0f1a8
762220000705000	30e6037b136f464eae7478413ac6f414
762220000705800	e983b982a8f840b6820e16f08c13b2cd
762220000706600	ef8c3806e93746bd9989ae195e3f690b
762220000707400	6ab7d3ff13b444aea421fca3063c14e7
762220000708200	237a88f9a08d431f896194c96dba3b55
762220000709000	d46429ae816440ddb1f106921fdeb2b2
762220000709800	72a7d3f32b1647babf2e9828d0cf1124
762220000710600	2d4878de8f0b46daab1fea47a180c8fc
762220000711400	cffa0ea1add442b59a71ac62bb3391eb
762220000712200	accba7dd23d14623bc2a7cc59bcf39f8
762220000713000	b48ee5fffa6d4828a8ebfc7f581c37da
762220000713800	f34b4e141ed5468395024f5bb78b902c
762220000714600	b1e066d2993a4c06bff5caf1605c9ba2
762220000715400	7939088ca944431bbf2b815b84fd5c21
762220000716200	0b81be0d4758475bb763b616dd18d06c
762220000717000	08075ab59c8b413385875571083e2684
762220000717800	33ef46ab91174c2791954e82fcb051be
762220000718600	cad2fe50a4a24310bc628e96e1265d80
762220000719400	d7647714311f450f9457e8ab2bdb98ad
762220000720200	dcc4974abf4841b287386bcefd809ff9
762220000721000	a81450b06af049e081449ac0b299ea74
762220000721800	ba975bad95064dc6ad87b555d8df887d
762220000722600	0a586bc5933a4a14ac42c1a269fd9d1c
762220000723400	1be59bc620604971baadd8d1b83aa4a9
762220000724200	41b72bc4df4e4e208cb399e19b22e056
762220000725000	bf9b51c9782949eb87ca5fdf4a0b0109
762220000725800	426d34b83b2848228155d33ad549605b
762220000726600	2425a9c7975a461d9507bfe894982a6c
762220000727400	3b4c3a6c50624748b27874e5480cdd6e
762220000728200	017a49673e7b4de2991fc10272953f1e
762220000729000	085a7c70760349b39cce56e8c1e51ac3
762220000729800	427e777bda2546af939b47bc6e19232b
762220000730600	9e31f9803a734af893e6b48e8c97d1b9
762220000731400	51e7c090278c4371949576779b3a1e91
762220000732200	31bbb5f26f01412da210a1a36f5d6e85
762220000733000	7a6d1cdb4374459d8bf669e24a23f44f
762220000733800	ea4122dd32e345dd90e3abb612464d3f
762220000734600	90cec4756ce14711a38fbcc6644a3e70
762220000735400	283a7ba325424d73b03ca0d1b7e2a08c
762220000736200	94c50165c2cc4c76aac88b70f6c0e923
762220000737000	95d5cc93d9c7459a8bfa5da0117f01bf
762220000737800	520962a22ddd4e31b7ec18062718a58f
762220000738600	9722c0eb05674b8cb5627ff61f2cc3b9
762220000739400	b4432d050767435fbd53db339e4b1b1e
762220000740200	450b712b57a94bd0b4f39da3105dff0f
762220000741000	bc0eef469475498993f2418cba1aeace
762220000741800	ff3b50d2939b44b2a15005b353bb3326
762220000742600	a842ea0f067242e7bfb1a77f310a24b9
762220000743400	1bb469a283b94cbba6aa7644bfe1e863
762220000744200	4cd4351c0976496281b25a5270b91ada
762220000745000	64dd6696e3304d888f5bcaffb9dbfae8
762220000745800	fdf9f747505341cd9c2f1d3c3bc05c5f
762220000746600	96c486176e964cbaaa4e5816ec6a8e1c
762220000747400	9812655711a540e2a3cc5f145a75b5f6
762220000748200	5fbbec5560f64c26a00787c31d5924cf
762220000749000	f9c4a6734a6742bd82954cdd8e733781
762220000749800	469d45e1312b49bab69e333ed8384e93
762220000750600	41ca2b76b52f4ef2837b191ed3168cc3
762220000751400	6aaebfaf50844612b59d8985f2c0932c
762220000752200	c5359e6426f6472bae2c5ab4c7682986
762220000753000	6512404e5038420eba31d90c5cd418f4
762220000753800	88d81cf71ed94941b3c236eb5431eff5
762220000754600	b6267eb6ad0c47ba9b8c4ccd43436a52
762220000755400	c098910cd24341a8b25d81506842b3de
762220000756200	b9f4f457b45c4e439f2026238b474b32
762220000757000	19df046322024008a8fcec8a98f80588
762220000757800	7cc47417a2c044529c163efe2dd28012
762220000758600	6a625e015c224defb04185b01cdf14fa
762220000759400	5aff0401c5214a6da32ea1c64c8aff3b
762220000760200	f7677cdac6c342a581c1cc7d28cfe978
762220000761000	95e4e6b80331405897c409071cd94416
762220000761800	bea39976f5bd48dc93cbd19b539932ad
762220000762600	5ea529ad93a1493faa7fbe9e10744842
762220000763400	5782519d4a3b4fac8c680a397df82658
762220000764200	e0ec9bf977374c1f8a72ebe6b052df47
762220000765000	9849f0f1b00e4407b140a23b0c9a17f6
762220000765800	3a77a85ec3aa4dc09b7b8618ab4de162
762220000766600	d5a45246e94e49e29fe3ce513848b5cb
762220000767400	230d22692e3142aea6dc9d840295032c
762220000768200	d1b47f1fcd35454fa8535ea329638742
762220000769000	cd465c4fe78142b08e01a3052922b454
762220000769800	babc3ffad6c64122bdee91d3b91bf96b
762220000770600	d66bb6c104c3445bbdc3d268c0a3d25d
762220000771400	166ae017ddcc462491be09e0ebf70c13
762220000772200	6c8c553362974bb192abd0d3148943a9
762220000773000	7e1f519363f64d83903edf03665793b2
762220000773800	e095c7b146e64583a1aeb3cb92a05e1d
762220000774600	4b427c1ad05f4cf7a96cb06f7150fcab
762220000775400	756bb81f7bc74a21843ad0e3c2ac20d9
762220000776200	029cbdbd229740f3a183fb0ef41b26cf
762220000777000	585fac290b57488ca952ca2709122ed4
762220000777800	b1905ba39d5e4df2a05398f819a9a4e0
762220000778600	1a12bd453baa49d89b02b21b7b4231af
762220000779400	637012bf611c4e86a90767c9dd01cd14
762220000780200	7bce93d0cef646658f09961bbff12592
762220000781000	6a0009900a944faf91f3f9cc88f47ce2
762220000781800	96abe1a9bb5a461f8c79135ff36760d3
762220000782600	99bdb756a41344d6bdb8772da3b0ee12
762220000783400	3a250ba3f85442109c233c9cd4646160
762220000784200	789fb0ec9b604b729218a0359b923ae3
762220000785000	03be900c768b49f895d779620531004e
762220000785800	eb36d20b4944426f9c1d3706c19c4a56
762220000786600	79e190b06eb34dbe88e97f0697eae7d2
762220000787400	339663c3a15b4af082bbeee230808403
762220000788200	5e3dc3a75b984d118c1d2b42ea53ce9e
762220000789000	c09b8a276c8b4db4be5bc0867d6bd159
762220000789800	44b67d40829b41eb9ea5c3d4311009b4
762220000790600	e4a6c7ca2dce48f2baa885596030f43b
762220000791400	5999ecadb0da498ca6cf724785b4e8a2
762220000792200	13f7555133f84b5a99a03ae7b16d9d5d
762220000793000	0be602cc5998481ea8acd4ab85e89380
762220000793800	566fe3fe6ca3495fb5a913c462dd73cc
762220000794600	0e492c82f4ec4fef84634ee196be28d1
762220000795400	68146c0fe3d94bcc82c412301fbf9a45
762220000796200	fad575884d704ef8bf0fa71d6681e86a
762220000797000	0486ca2c11a2464ba6dc0c6b8d5fda53
762220000797800	9d8ecff228c343c58378aebd7e948d41
762220000798600	3eddbd7d8fd847449e9954c4d186d185
762220000799400	9407c19277b1405a80f8a587ea46c1e3
762220000800200	ed5202a7d3d04bee8e720bb5acfebc1e
